State,Year,Month,Avg_Temperature_Celsius
Alabama,1900,1,12.810074105257591
Alabama,1900,2,34.68305046416202
Alabama,1900,3,27.54640801662086
Alabama,1900,4,2.831054496950278
Alabama,1900,5,33.435391697851905
Alabama,1900,6,0.9246338462178851
Alabama,1900,7,33.09770426439104
Alabama,1900,8,13.255128809755472
Alabama,1900,9,-0.3821876805967648
Alabama,1900,10,29.941463989342957
Alabama,1900,11,13.276435599153007
Alabama,1900,12,0.24658112704672064
Alabama,1901,1,-1.473435437719445
Alabama,1901,2,25.241035330019088
Alabama,1901,3,16.418756167357238
Alabama,1901,4,29.048203015237824
Alabama,1901,5,30.86930639136483
Alabama,1901,6,28.699743264846205
Alabama,1901,7,-7.81381723884237
Alabama,1901,8,3.739219655649922
Alabama,1901,9,26.69310240953488
Alabama,1901,10,34.83974094079086
Alabama,1901,11,-1.9360545245392728
Alabama,1901,12,14.47379238019623
Alabama,1902,1,-8.807970746577237
Alabama,1902,2,30.737305495446314
Alabama,1902,3,26.62589914875071
Alabama,1902,4,-4.768081545746272
Alabama,1902,5,8.873783210153928
Alabama,1902,6,18.493058155321947
Alabama,1902,7,-1.4788202535441979
Alabama,1902,8,10.763534806782626
Alabama,1902,9,5.639462300028745
Alabama,1902,10,7.356275700695591
Alabama,1902,11,13.683614909169385
Alabama,1902,12,6.174277068582462
Alabama,1903,1,5.880625125292742
Alabama,1903,2,-9.924596812050302
Alabama,1903,3,29.033879803829315
Alabama,1903,4,-6.474801648383401
Alabama,1903,5,14.18598213896129
Alabama,1903,6,24.98368127477722
Alabama,1903,7,23.394837646777283
Alabama,1903,8,30.19233503126693
Alabama,1903,9,16.775622142255067
Alabama,1903,10,18.068778051251954
Alabama,1903,11,12.596136455500403
Alabama,1903,12,26.659595660837255
Alabama,1904,1,5.88102080052067
Alabama,1904,2,-8.243658466216928
Alabama,1904,3,19.167753224176767
Alabama,1904,4,10.597995297179736
Alabama,1904,5,14.166584256443844
Alabama,1904,6,16.039194126551028
Alabama,1904,7,-8.982556095878936
Alabama,1904,8,-8.035404685606057
Alabama,1904,9,20.88804195818205
Alabama,1904,10,-9.612188617411267
Alabama,1904,11,5.64532070945301
Alabama,1904,12,-0.9866830252821437
Alabama,1905,1,4.819575256341137
Alabama,1905,2,-4.522229561799653
Alabama,1905,3,-3.460862630655713
Alabama,1905,4,34.50424893154729
Alabama,1905,5,21.870753841254782
Alabama,1905,6,34.04802696826514
Alabama,1905,7,25.630141403805872
Alabama,1905,8,4.339088327571325
Alabama,1905,9,18.864660656971694
Alabama,1905,10,23.426356139120877
Alabama,1905,11,4.214113419481485
